location,location_code,lat,lon,weekday,date,start_time,end_time,duration,hours,tide_state,high_tide,low_tide,wind,wind_speed,precipitation,cloud,birds_start,birds_end,human_rate,human,vigilance,walkrun,flight,alarm,nonhuman,nh_vigilance,nh_walkrun,nh_flight,nh_alarm,walkers,dogs_on,dogs_off,joggers,cyclists,other,vehicles,avian_predators,unknown
Baldoyle Red Arches,BRA,53.401855,-6.130441,Tue,17/01/2023,12:00:00,13:00:00,01:00:00,1.00,Low,06:51:00,12:48:00,Light,10-20,None,1,44,62,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
Portrane tour point,PTP,53.508135,-6.128972,Mon,16/01/2023,10:15:00,11:15:00,01:00:00,1.00,Ebb-low,05:47:00,11:35:00,Light,10-20,None,1,74,48,1,1,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0
Malahide The Island,MI,53.462729,-6.142271,Fri,02/12/2022,12:40:00,13:40:00,01:00:00,1.00,Low-flood,18:43:00,12:11:00,None,0-10,None,7,126,110,1,1,1,1,0,1,0,0,0,0,NA,0,1,0,0,0,0,0,0,0
Malahide N fields inner,MNF,53.46952,-6.166496,Thu,10/11/2022,11:23:00,12:23:00,01:00:00,1.00,High,12:12:00,05:46:00,Strong,40-50,None,6,2,2,0,0,0,0,0,0,1,1,0,1,NA,0,0,0,0,0,0,0,1,0
Baldoyle Upper,BU,53.40588,-6.132335,Mon,13/02/2023,11:00:00,11:45:00,00:45:00,0.75,Flood,16:12:00,09:49:00,Fresh,20-30,None,8,92,92,0,0,0,0,0,0,1,1,1,1,NA,0,0,0,0,0,0,0,1,0
Rogerstown North hide wet fields,RNH,53.503263,-6.169647,Fri,11/11/2022,13:13:00,14:13:00,01:00:00,1.00,High,13:15:00,06:45:00,Strong,30-40,None,7,500,500,0,0,0,0,0,0,5,5,0,5,NA,0,0,0,0,0,0,0,5,0
Seagrange Park,SP,53.395499,-6.136356,Sun,20/11/2022,08:15:00,09:15:00,01:00:00,1.00,High,08:32:00,14:20:00,Fresh,20-30,None,7,100,25,11,11,7,6,5,5,0,0,0,0,NA,1,3,6,0,0,0,0,0,0
Portrane tour point,PTP,53.508135,-6.128972,Wed,15/02/2023,12:10:00,13:10:00,01:00:00,1.00,Low,18:45:00,12:12:00,Fresh,20-30,None,7,105,105,2,2,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,1,0
Malahide The Island,MI,53.462729,-6.142271,Sat,21/01/2023,15:15:00,16:15:00,01:00:00,1.00,Ebb-low,10:47:00,16:42:00,Fresh,20-30,Light showers,8,22,26,2,2,2,2,2,2,0,0,0,0,NA,2,0,0,0,0,2,0,0,0
Malahide Castle grounds,MCG,53.442371,-6.161597,Fri,20/01/2023,10:00:00,11:00:00,01:00:00,1.00,High,09:56:00,15:51:00,None,0-10,None,1,0,0,9,9,NA,NA,NA,NA,0,NA,NA,NA,NA,3,0,5,1,0,0,0,0,0
Newbridge,N,53.487716,-6.1753,Fri,20/01/2023,08:30:00,09:30:00,01:00:00,1.00,Flood-high,09:56:00,15:51:00,None,0-10,None,1,0,0,10,10,NA,NA,NA,NA,0,NA,NA,NA,NA,3,1,3,0,0,0,3,0,0
Corballis cottages,CC,53.475077,-6.145165,Wed,18/01/2023,13:15:00,14:15:00,01:00:00,1.00,Low,07:57:00,13:57:00,Fresh,20-30,None,1,241,266,36,36,7,3,1,2,0,0,0,0,NA,5,1,0,1,1,0,28,0,0
Malahide Castle grounds,MCG,53.442371,-6.161597,Wed,09/11/2022,11:07:00,12:07:00,01:00:00,1.00,High,11:39:00,05:09:00,Fresh,20-30,None,1,0,0,13,13,0,0,0,0,0,0,0,0,NA,6,2,4,3,0,0,0,0,0
Rogerstown North hide wet fields,RNH,53.503263,-6.169647,Sat,19/11/2022,08:30:00,09:30:00,01:00:00,1.00,High-ebb,08:15:00,14:00:00,None,0-10,None,4,150,150,4,4,4,0,4,4,0,0,0,0,NA,10,0,0,0,0,0,0,0,0
Kingfisher Green,KG,53.419254,-6.139486,Wed,25/01/2023,13:30:00,14:30:00,01:00:00,1.00,High,13:54:00,07:18:00,Light,10-20,Spots,5,0,0,13,13,NA,NA,NA,NA,0,NA,NA,NA,NA,10,2,0,1,0,0,0,0,0
Roseglen Kilbarrack,RK,53.385132,-6158793,Sun,27/11/2022,12:34:00,13:34:00,01:00:00,1.00,High,13:32:00,07:01:00,Fresh,20-30,Showers,4,177,194,13,13,13,12,4,6,0,0,0,0,NA,11,2,2,0,0,0,3,0,0
Malahide Castle grounds,MCG,53.442371,-6.161597,Fri,10/02/2023,12:50:00,13:50:00,01:00:00,1.00,Flood-high,14:09:00,07:30:00,Fresh,20-30,None,8,1,0,25,25,3,3,1,0,0,NA,NA,NA,NA,11,7,0,5,0,0,1,0,0
Sutton corner,SC,53.392823,-6.11203,Sun,20/11/2022,12:55:00,13:55:00,01:00:00,1.00,Ebb-low,08:32:00,14:20:00,Fresh,20-30,None,1,80,80,19,19,12,10,7,10,0,0,0,0,NA,12,2,8,0,0,0,0,0,0
Portmarnock Leisure Centre,PLC,53.433932,-6.137721,Tue,24/01/2023,11:45:00,12:45:00,01:00:00,1.00,Flood-high,13:08:00,19:08:00,None,0-10,None,6,0,0,26,26,NA,NA,NA,NA,1,NA,NA,NA,NA,16,1,6,0,2,0,0,1,0
Malahide Beach car park,MBC,53.4513,-6.1437,Thu,17/11/2022,11:50:00,12:50:00,01:00:00,1.00,Low-flood,17:54:00,11:20:00,Light,10-20,None,7,50,50,17,17,9,5,2,4,0,0,0,0,NA,18,3,3,2,0,0,0,0,0
Paddy's Hill,PH,53.44057,-6.130649,Sat,21/01/2023,11:00:00,12:00:00,01:00:00,1.00,High,10:47:00,16:42:00,Light,10-20,None,8,16,0,34,34,4,3,3,3,0,0,0,0,NA,19,4,8,3,0,0,0,0,0
Racecourse Park,RP,53.400497,-6.135629,Tue,08/11/2022,10:35:00,11:35:00,01:00:00,1.00,High,11:05:00,04:32:00,Fresh,20-30,None,7,NA,NA,41,41,5,4,2,1,0,0,0,0,NA,21,4,10,2,1,0,4,1,0
Fingallians Balheary,FB,53.466796,-6.216607,Fri,10/02/2023,14:05:00,15:05:00,01:00:00,1.00,High,14:09:00,07:30:00,Light,10-20,None,8,0,0,31,31,NA,NA,NA,NA,0,NA,NA,NA,NA,21,2,6,0,2,0,0,0,0
Racecourse Park,RP,53.400497,-6.135629,Sun,13/11/2022,13:55:00,14:35:00,00:40:00,0.67,High,14:03:00,07:38:00,Fresh,20-30,None,8,0,3,54,36,4,3,0,0,0,0,0,0,NA,26,5,8,1,4,52,0,0,0
Newbridge,N,53.487716,-6.1753,Wed,08/02/2023,13:05:00,14:05:00,01:00:00,1.00,High,13:17:00,06:40:00,Light,10-20,None,8,0,0,38,38,NA,NA,NA,NA,2,NA,NA,NA,NA,26,0,6,6,0,0,0,2,0
Roseglen Kilbarrack,RK,53.385132,-6158793,Thu,19/01/2023,09:30:00,10:00:00,00:30:00,0.50,High,09:00:00,14:58:00,Light,10-20,None,4,0,0,154,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,0,0,4,0,40,0,0
Roseglen Kilbarrack,RK,53.385132,-6158793,Tue,07/02/2023,11:10:00,12:10:00,01:00:00,1.00,Flood-high,12:32:00,05:59:00,None,0-10,None,8,10,3,120,120,5,4,2,1,0,NA,NA,NA,NA,32,2,4,0,6,0,79,0,0
Seagrange Park,SP,53.395499,-6.136356,Sun,13/11/2022,12:58:00,13:38:00,00:40:00,0.67,High,14:03:00,07:38:00,Fresh,20-30,None,8,13,0,62,41,3,2,2,2,0,0,0,0,NA,35,5,7,2,8,0,0,0,0
Fingallians Balheary,FB,53.466796,-6.216607,Mon,23/01/2023,13:17:00,14:17:00,01:00:00,1.00,High-ebb,12:22:00,18:20:00,None,0-10,Drizzle,8,0,36,79,79,3,1,1,1,0,0,0,0,NA,54,5,14,4,2,0,0,0,0
Portmarnock Beach end,PB,53.399437,-6.118525,Thu,19/01/2023,13:50:00,14:50:00,01:00:00,1.00,Low,09:00:00,14:58:00,Light,10-20,None,0,15,16,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
Portmarnock Beach end,PB,53.399437,-6.118525,Tue,14/02/2023,10:15:00,11:15:00,01:00:00,1.00,Low,17:17:00,10:53:00,Fresh,20-30,Light showers,7,25,25,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
Baldoyle Upper,BU,53.40588,-6.132335,Tue,29/11/2022,09:15:00,10:15:00,01:00:00,1.00,Low-flood,15:25:00,08:45:00,None,0-10,None,8,81,91,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
Rogerstown Beaverstown Portrane,RBP,53.498987,-6.132055,Fri,18/11/2022,12:20:00,13:20:00,01:00:00,1.00,Low,18:54:00,12:32:00,Light,10-20,None,0,500,500,0,0,0,0,0,0,1,1,1,1,NA,0,0,0,0,0,0,0,0,1
Rogerstown Railway mudflats,RRM,53.507457,-6.148015,Wed,16/11/2022,10:50:00,11:50:00,01:00:00,1.00,Low-flood,16:50:00,10:07:00,None,0-10,None,0,150,150,5,5,0,0,0,0,2,2,2,2,NA,0,0,0,0,0,0,5,1,1
Corballis cottages,CC,53.475077,-6.145165,Tue,15/11/2022,09:20:00,10:00:00,00:40:00,0.67,Low,15:47:00,09:08:00,None,0-10,None,2,200,200,57,38,9,5,4,4,2,2,0,2,NA,1,0,0,2,1,0,56,1,1
Corballis cottages,CC,53.475077,-6.145165,Sat,19/11/2022,12:50:00,13:50:00,01:00:00,1.00,Low,07:43:00,13:31:00,Fresh,20-30,None,8,150,150,56,56,5,5,2,2,3,3,3,3,NA,3,0,0,0,1,0,97,2,1
Rogerstown Beaverstown Portrane,RBP,53.498987,-6.132055,Thu,16/02/2023,12:15:00,13:15:00,01:00:00,1.00,Ebb-low,20:00:00,13:30:00,Light,10-20,None,6,216,216,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,2
Baldoyle Red Arches,BRA,53.401855,-6.130441,Sun,20/11/2022,14:30:00,15:30:00,01:00:00,1.00,Low-flood,08:32:00,14:20:00,Fresh,20-30,None,1,80,20,4,4,4,4,4,4,1,1,1,1,NA,3,0,0,0,0,0,3,1,2
Seagrange Park,SP,53.395499,-6.136356,Mon,07/11/2022,10:00:00,10:30:00,00:30:00,0.50,High,10:29:00,03:53:00,Fresh,20-30,None,8,NA,NA,50,25,7,1,0,NA,2,2,0,0,NA,79,3,6,0,1,0,0,0,2
Rogerstown Railway mudflats,RRM,53.507457,-6.148015,Sun,06/11/2022,15:10:00,16:10:00,01:00:00,1.00,Low,10:30:00,15:27:00,None,0-10,Showers,7,NA,NA,3,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,1,0,0,0,0,2,0,NA
Malahide N fields inner,MNF,53.46952,-6.166496,Sat,05/11/2022,08:30:00,09:01:00,00:31:00,0.52,Flood,09:05:00,02:24:00,Fresh,20-30,None,8,NA,NA,2,1,NA,NA,NA,NA,7,NA,NA,NA,NA,0,0,0,0,0,0,1,7,NA
Baldoyle Red Arches,BRA,53.401855,-6.130441,Fri,04/11/2022,13:00:00,13:26:00,00:26:00,0.43,Low,08:11:00,13:47:00,None,0-10,None,4,NA,NA,18,8,NA,NA,NA,NA,0,NA,NA,NA,NA,2,0,0,0,1,0,5,0,NA
Rogerstown Turvey wet fields,RT,53.498264,-6.177017,Sun,06/11/2022,09:15:00,10:15:00,01:00:00,1.00,Flood,10:30:00,03:11:00,Light,10-20,None,1,NA,NA,1,1,NA,NA,NA,NA,4,NA,NA,NA,NA,2,0,0,0,0,0,0,4,NA
Sutton corner,SC,53.392823,-6.11203,Thu,03/11/2022,11:07:00,12:07:00,01:00:00,1.00,Ebb,07:06:00,12:24:00,Light,10-20,None,1,NA,NA,21,21,NA,NA,NA,NA,0,NA,NA,NA,NA,8,2,6,2,0,0,3,0,NA
Malahide Beach car park,MBC,53.4513,-6.1437,Sat,05/11/2022,14:00:00,15:00:00,01:00:00,1.00,Low,09:05:00,14:40:00,Light,10-20,None,3,NA,NA,66,66,NA,NA,NA,NA,0,NA,NA,NA,NA,53,6,7,0,0,0,0,0,NA
